ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
C26	1281.537474	1891.177886	1904.238268	1914.761791	1513.351066	1293.622985	1645.406825	1854.279592	1942.008461	1378.774228	1291.587588	1474.236713	1774.555511	1734.96647	1374.167007
C39	257.309938	64.270371	1.272292	30.624463	21.477263	406.643746	55.615483	0.86723	20.100347	19.639866	342.512494	90.140807	3.634863	27.721101	28.324403
C40	352.657441	237.048027	273.953102	96.101916	318.043845	335.56492	309.321891	261.623151	85.233371	295.548929	316.685556	199.632988	311.418258	126.088392	241.892762
C44	1036.739306	671.369775	506.779253	742.084666	690.407135	1061.141029	720.196814	670.091457	793.222737	590.518923	967.084184	752.265727	578.539801	762.309364	507.795755
C45	2.951428	38.806088	9.373374	59.470599	10.273445	0.596294	29.172401	46.408343	49.060031	4.380908	1.592059	89.477642	33.761095	49.405505	0.91906
C56	611.697891	814.078007	671.183365	980.114152	617.642367	474.972038	478.783948	808.330427	951.630814	524.411936	451.357951	723.385591	651.808795	916.873475	500.334923
C59	0.153108	9.415664	1.05106	5.242174	5.3938	0.188424	15.759707	2.59542	9.87467	0.863003	0.096352	14.124644	7.192132	10.12715	0.405267
C60	0	1.296254	0.991396	0.394222	0	0	0.083361	1.173112	0.757268	0	0	2.416462	0	2.017138	0
C60A	93.023714	6.762233	1.807354	1.426971	7.497035	131.866625	2.155605	2.577216	2.085152	6.79352	117.029631	4.494827	1.26776	3.951028	15.711085
C65	0	0	0.665509	0	1.27751	0	0.247279	0	0	1.21455	0	0.45419	0	0	2.61119
C69	36.942616	13.911735	20.209724	7.967729	42.593693	9.809379	14.840737	35.701057	9.822814	40.936936	17.186906	24.630051	44.340351	13.90997	21.893428
C78A	0	0	0.396318	0	0.872336	0	0.843645	0	0	2.13293	0	1.03745	0	0	3.81177
C82A	771.441455	1125.812783	997.322198	1013.282108	950.174229	782.739829	537.823991	1401.652924	830.254746	750.889188	678.814897	616.672445	915.415089	675.640362	915.378231
C82B	75.67565	252.685099	159.485572	244.521659	162.676655	21.024003	160.768913	329.479283	217.990314	122.579537	28.812085	130.944868	212.125738	207.167109	130.764671
C83	0	0.452505	0.389316	0.244901	1.786941	0	0.924762	0	0.30145	1.159191	0.052468	2.38338	0	0.210491	2.929633
C85A	0	0	0	0	0.80645	0	0.42703	0	0	0.406176	0	0.622853	0	0	1.1181
C89	0	0.485358	0.766296	5.63858	3.63201	0	0.9559	0	6.40602	3.363112	0	1.882741	0	10.5709	2.607039
C93	129.291355	253.16294	37.952691	304.557682	30.557292	179.103302	181.724141	219.81687	228.04323	22.928019	142.425441	111.450056	116.749486	219.704738	16.934536
C95	0	0.112951	2.66892	0	2.899853	0	5.28432	0	0	8.464074	0	3.26765	0	0	11.587283
C96	0	3.1081	0	0.037998	0	0	1.69642	0	0.163585	0	0	0	0	0.045597	0
C97	0	0	0.59737	0	3.056624	0	0.467388	0	0	1.569345	0	1.063138	0	0	4.811355
G04	104.352348	154.838062	156.36464	93.989027	144.131739	27.916393	147.300525	209.770424	60.601428	157.061111	51.219179	108.93028	175.797331	56.556625	106.325636
G05	304.603751	217.330652	194.928954	121.966387	306.788495	295.888347	253.123373	170.975736	102.340649	229.575495	285.632489	206.131737	203.56905	156.373718	194.776047
